document_id,file_name,stem,extension,absolute_path,relative_path,parent_folder,size_bytes,size_mb,created_time,modified_time,sha256,mime_type,is_supported,conversion_candidate,hash_error
DOC000035,d3ea386390156831f0600269fdb2e76a_original.pdf,d3ea386390156831f0600269fdb2e76a_original,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\Tünel\d3ea386390156831f0600269fdb2e76a_original.pdf,Leyla Literatür/Tünel/d3ea386390156831f0600269fdb2e76a_original.pdf,Leyla Literatür/Tünel,34832019,33.218402,2026-08-12T19:11:27+03:00,2024-01-25T15:46:16+03:00,c736114ad7d9ac29557c038d3125645cc50104cd1bb39ff873388c1f65c5ccbe,application/pdf,True,True,
DOC000036,20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.pdf,20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Literatür ve Araştırmalar\20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.pdf,Literatür ve Araştırmalar/20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.pdf,Literatür ve Araştırmalar,2821327,2.690627,2026-08-12T19:11:29+03:00,2016-03-30T11:39:33+03:00,1c8cf251c81e8ae5e70c88b1489519d81ffba3399b43b05e64239d633a488937,application/pdf,True,True,
DOC000037,3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013.pdf,3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Literatür ve Araştırmalar\3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013.pdf,Literatür ve Araştırmalar/3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013.pdf,Literatür ve Araştırmalar,22955381,21.891957,2026-08-12T19:11:29+03:00,2024-09-25T13:28:16+03:00,59634dde95d44e0e192ef4a50411b951775a18bfcaa7db6bf103defe6cfb2f4c,application/pdf,True,True,
DOC000038,An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Literatür ve Araştırmalar\An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,Literatür ve Araştırmalar/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,Literatür ve Araştırmalar,288386,0.275026,2026-08-12T19:11:30+03:00,2021-09-06T11:40:16+03:00,a95c677557c8064ee02e138b9b538bd52d1151c2cedca7bc1c2a18db66e01639,application/pdf,True,True,
DOC000039,Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Literatür ve Araştırmalar\Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,Literatür ve Araştırmalar/Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,Literatür ve Araştırmalar,388953,0.370934,2026-08-12T19:11:30+03:00,2021-09-06T11:17:30+03:00,dfe9d01daa14dd6f5dd17db9037e84f2b920a31e89740b66d8ab438162ab11d0,application/pdf,True,True,
DOC000040,Cost of Maintenance_Piarc.pdf,Cost of Maintenance_Piarc,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Literatür ve Araştırmalar\Cost of Maintenance_Piarc.pdf,Literatür ve Araştırmalar/Cost of Maintenance_Piarc.pdf,Literatür ve Araştırmalar,61317,0.058476,2026-08-12T19:11:30+03:00,2021-09-06T11:26:58+03:00,77cf2eb068cd0f71b6f6069617f35886b8f6fb4f66e7f4d78aae7b8de6935a72,application/pdf,True,True,
DOC000041,Estimate of annual operating costs Highway Tunnel.pdf,Estimate of annual operating costs Highway Tunnel,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Literatür ve Araştırmalar\Estimate of annual operating costs Highway Tunnel.pdf,Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.pdf,Literatür ve Araştırmalar,56849,0.054215,2026-08-12T19:11:30+03:00,2021-09-06T11:16:25+03:00,b33de96bcf1b4e6bdf99bfa40e8c182174ccd7c66ae084a49aa979ad0e50d592,application/pdf,True,True,
DOC000042,Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları.pdf,Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Literatür ve Araştırmalar\Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları.pdf,Literatür ve Araştırmalar/Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları.pdf,Literatür ve Araştırmalar,2632516,2.510563,2026-08-12T19:11:30+03:00,2021-09-28T15:05:22+03:00,1b4596736bbcf61f370be7bc684f3367977e401954abf3a8556b5e8565a3782a,application/pdf,True,True,
DOC000043,HS2_Guide_to_Tunnelling_Costs.pdf,HS2_Guide_to_Tunnelling_Costs,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Literatür ve Araştırmalar\HS2_Guide_to_Tunnelling_Costs.pdf,Literatür ve Araştırmalar/HS2_Guide_to_Tunnelling_Costs.pdf,Literatür ve Araştırmalar,506043,0.4826,2026-08-12T19:11:30+03:00,2021-09-06T11:16:48+03:00,376b6902031fe537a68c4606bbc954db0a2583e517f679e65b8aeded512e39cd,application/pdf,True,True,
DOC000044,"Management of road tunnels_Construction, maintenance.pdf","Management of road tunnels_Construction, maintenance",.pdf,"C:\Users\bulsa\OneDrive\Desktop\tunnel\Literatür ve Araştırmalar\Management of road tunnels_Construction, maintenance.pdf","Literatür ve Araştırmalar/Management of road tunnels_Construction, maintenance.pdf",Literatür ve Araştırmalar,219521,0.209352,2026-08-12T19:11:30+03:00,2021-09-06T11:35:11+03:00,6c33efd9e03ce78f9ec23cc1e869d7b0401882177db612488f36b2792cbb16fc,application/pdf,True,True,
