duplicate_group_id,canonical_candidate,document_id,file_name,relative_path,extension,size_bytes,sha256
EXACT00038,True,DOC000160,"4_International Projects of Yapi Merkezi, Administrative Difficulties Encountered.pdf","Sunumlar_2022/4_International Projects of Yapi Merkezi, Administrative Difficulties Encountered.pdf",.pdf,5782364,1457e07af2b0f6b8533b9bc852928166f611084644bf7257b1b3e83f7f16d4a1
EXACT00038,False,DOC000185,"4_International Projects of Yapi Merkezi, Administrative Difficulties Encountered.pdf","Tünel Dergisi/Sunumlar_2022/4_International Projects of Yapi Merkezi, Administrative Difficulties Encountered.pdf",.pdf,5782364,1457e07af2b0f6b8533b9bc852928166f611084644bf7257b1b3e83f7f16d4a1
EXACT00039,True,DOC000161,"5_Past, Present and Future of Izmir Metro Works.pdf","Sunumlar_2022/5_Past, Present and Future of Izmir Metro Works.pdf",.pdf,6302108,7bea6c201c2cd943fbd77ed85a922766ac64943657c2f822f46256943a8abda8
EXACT00039,False,DOC000186,"5_Past, Present and Future of Izmir Metro Works.pdf","Tünel Dergisi/Sunumlar_2022/5_Past, Present and Future of Izmir Metro Works.pdf",.pdf,6302108,7bea6c201c2cd943fbd77ed85a922766ac64943657c2f822f46256943a8abda8
EXACT00040,True,DOC000162,"6_Past, Present and Future of DSI Tunnels.pdf","Sunumlar_2022/6_Past, Present and Future of DSI Tunnels.pdf",.pdf,6937320,f28df7cb6007defe882889017a983d7c06c169a31170e5b112017af625ae30b6
EXACT00040,False,DOC000187,"6_Past, Present and Future of DSI Tunnels.pdf","Tünel Dergisi/Sunumlar_2022/6_Past, Present and Future of DSI Tunnels.pdf",.pdf,6937320,f28df7cb6007defe882889017a983d7c06c169a31170e5b112017af625ae30b6
EXACT00041,True,DOC000163,7_Tunnel Projects in Indonesia and the Far East Opportunities for Turkish Contractors.pdf,Sunumlar_2022/7_Tunnel Projects in Indonesia and the Far East Opportunities for Turkish Contractors.pdf,.pdf,1461142,aebfb2790f94d4239847b45390573d6de454b397cc9405ddd5e8af1f952d3c8d
EXACT00041,False,DOC000188,7_Tunnel Projects in Indonesia and the Far East Opportunities for Turkish Contractors.pdf,Tünel Dergisi/Sunumlar_2022/7_Tunnel Projects in Indonesia and the Far East Opportunities for Turkish Contractors.pdf,.pdf,1461142,aebfb2790f94d4239847b45390573d6de454b397cc9405ddd5e8af1f952d3c8d
EXACT00042,True,DOC000164,8_Halkali - Istanbul Airport Metro Construction Works.pdf,Sunumlar_2022/8_Halkali - Istanbul Airport Metro Construction Works.pdf,.pdf,3552062,f036fbe6cc100faef49c498054f0700eb618c52fca4e5f4a0806dde7c9610c01
EXACT00042,False,DOC000189,8_Halkali - Istanbul Airport Metro Construction Works.pdf,Tünel Dergisi/Sunumlar_2022/8_Halkali - Istanbul Airport Metro Construction Works.pdf,.pdf,3552062,f036fbe6cc100faef49c498054f0700eb618c52fca4e5f4a0806dde7c9610c01
EXACT00043,True,DOC000165,9_Final Lining Design Approach for Reduction Tunnels.pdf,Sunumlar_2022/9_Final Lining Design Approach for Reduction Tunnels.pdf,.pdf,1321580,6ba9584fcdfdca8c91f6ed1462db0fadbd2f4c81e4f1f4542b0a1a95494be7f5
EXACT00043,False,DOC000190,9_Final Lining Design Approach for Reduction Tunnels.pdf,Tünel Dergisi/Sunumlar_2022/9_Final Lining Design Approach for Reduction Tunnels.pdf,.pdf,1321580,6ba9584fcdfdca8c91f6ed1462db0fadbd2f4c81e4f1f4542b0a1a95494be7f5
