document_id,source_relative_path,source_extension,source_sha256,baseline_converter,reason_for_full_docling,size_bytes,page_count_if_known,selected,pilot_selected,pilot_role,stress_selected,stress_reason
DOC000002,Leyla Literatür/TunelMaliyet/12229738_04.pdf,.pdf,a9dc4c909c9d5972c9b348bc14fa59991b7d0d4e8eb79cd73b9d771cb26ef49b,pypdf_fallback,layout_quality_check,3010069,,true,false,,false,
DOC000170,TAIEX Karayolu Tünellerinin Sınıflandırılması Eğitimi 16-19 Mart 2015/Risk Analysis for Road Tunnels PIARC.pdf,.pdf,98947b1040b98d24a49728ff7d0b0f6a8fa58fdc86cb2539c71a83e467b023fc,pypdf_fallback,layout_quality_check,3185716,,true,false,,false,
DOC000252,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/24.12.2018/T8 TUNELICIKIS Sag Tup 23.11.2018.pdf,.pdf,a539413169500f79b8cdfbd3223d869e35fa3ef1b27efd2237baef1b1957aa47,pypdfium2+rapidocr_torch,ocr_comparison,3209961,,true,false,,false,
DOC000111,Mehmet/Literatur/Wordler/YTMK/2015/02_3G_Investigation_strategy_AFa.docx,.docx,d539e7f4fef25d72a22d97fc66e00deeea3f2d9e27bb78a960c0ce771f6d0049,python_docx_fallback,python_docx_fallback,3251513,,true,false,,false,
DOC000250,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/24.12.2018/T2 Tuneli Cikis Sol Tup 26.11.2018.pdf,.pdf,7de44ee96dfee3d118f4cbff58926e3839530d1280e7539f8be6d0cec8b702f9,pypdfium2+rapidocr_torch,ocr_comparison,3296924,,true,false,,false,
DOC000249,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/24.12.2018/T2 Tuneli Cikis Sag Tup 26.11.2018.pdf,.pdf,cd0443535d0e03781fae10153eb5402b7f22376c44b4287e88cf16f7416d92b0,pypdfium2+rapidocr_torch,ocr_comparison,3309573,,true,false,,false,
DOC000253,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/24.12.2018/T8 TUNELICIKIS Sol Tup 23.11.2018.pdf,.pdf,5100bafa9b8728c0e62995c84d873ef6454f343df40fc80053dcb626d1f30df1,pypdfium2+rapidocr_torch,ocr_comparison,3334928,,true,false,,false,
DOC000264,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T3 TÜNELİ ENJEKSİYON İPTALİ.pptm,.pptm,8cd77050797aeb27474ab899ffc0581177f726b127e539c71452b46c78d9dd6e,python_pptx_fallback,python_pptx_fallback,3383546,,true,false,,false,
DOC000285,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/KGM DENEYLER SUNUMU.pptx,.pptx,8bee70a79da4e61360b7835cc8f6a656665267a5fcb3810bdc004cb46c9ffc22,python_pptx_fallback,python_pptx_fallback,3412658,,true,false,,false,
DOC000251,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/24.12.2018/T2 Tuneli Giris Sol Tup 26.11.2018.pdf,.pdf,aac6e448d314f890336574b3ce19a7e39dad0525a5cc8af22dd57050c5c67af1,pypdfium2+rapidocr_torch,ocr_comparison,3444105,,true,false,,false,
DOC000072,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/KTU_Tez_Tam Metin.docx,.docx,d8c47fd59b8c006c036f09be83fed7ee7fd3654016e8a6543caf32addd182c26,python_docx_fallback,python_docx_fallback,3471718,,true,false,,false,
